conc_M,normalisation,spearman_rho_b_vs_d,pearson_r_b_vs_d,reproduces_full_ordering
1e-06,row_abs,0.9878103669773378,0.7555164920023544,True
1e-06,none,0.9056122378744635,0.9353196924012067,True
1e-06,degree,0.6662469964157954,0.8274849003853563,False
1e-08,row_abs,0.9061889250814332,0.9976765037278486,True
1e-08,none,0.9214681776227494,0.6527717367860683,True
1e-08,degree,-0.37198697068403913,0.7682476172083534,False
1e-08,glutamate sign: wholens (B excitatory),0.9061889250814332,0.9976765037278486,
1e-08,glutamate sign: rate_engine (B inhibitory),0.9635179153094463,0.9972395310551259,
1e-07,glutamate sign: wholens (B excitatory),0.9885475201437236,0.7171532039770322,
1e-07,glutamate sign: rate_engine (B inhibitory),0.9872364491621005,0.70046340255922,
1e-06,glutamate sign: wholens (B excitatory),0.9878103669773378,0.7555164920023544,
1e-06,glutamate sign: rate_engine (B inhibitory),0.9838459106550208,0.730164248651969,
1e-05,glutamate sign: wholens (B excitatory),0.9870768926883093,0.7539230959270876,
1e-05,glutamate sign: rate_engine (B inhibitory),0.9786946657808683,0.7233006778568019,
